Date,Ticker,Close
2024-01-02,SPY_SAMPLE,476.76
2024-01-03,SPY_SAMPLE,471.5
2024-01-04,SPY_SAMPLE,475.58
2024-01-05,SPY_SAMPLE,480.69
2024-01-08,SPY_SAMPLE,470.65
2024-01-09,SPY_SAMPLE,464.12
2024-01-10,SPY_SAMPLE,464.94
2024-01-11,SPY_SAMPLE,463.48
2024-01-12,SPY_SAMPLE,463.56
2024-01-15,SPY_SAMPLE,459.39
2024-01-16,SPY_SAMPLE,464.02
2024-01-17,SPY_SAMPLE,468.17
2024-01-18,SPY_SAMPLE,468.67
2024-01-19,SPY_SAMPLE,474.69
2024-01-22,SPY_SAMPLE,477.3
2024-01-23,SPY_SAMPLE,472.98
2024-01-24,SPY_SAMPLE,475.07
2024-01-25,SPY_SAMPLE,470.25
2024-01-26,SPY_SAMPLE,474.98
2024-01-29,SPY_SAMPLE,474.88
2024-01-30,SPY_SAMPLE,474.08
2024-01-31,SPY_SAMPLE,470.71
2024-02-01,SPY_SAMPLE,477.25
2024-02-02,SPY_SAMPLE,476.61
2024-02-05,SPY_SAMPLE,474.53
2024-02-06,SPY_SAMPLE,472.86
2024-02-07,SPY_SAMPLE,475.81
2024-02-08,SPY_SAMPLE,477.89
2024-02-09,SPY_SAMPLE,480.23
2024-02-12,SPY_SAMPLE,482.68
2024-02-13,SPY_SAMPLE,494.36
2024-02-14,SPY_SAMPLE,492.33
2024-02-15,SPY_SAMPLE,489.74
2024-02-16,SPY_SAMPLE,485.54
2024-02-19,SPY_SAMPLE,489.01
2024-02-20,SPY_SAMPLE,495.3
2024-02-21,SPY_SAMPLE,494.85
2024-02-22,SPY_SAMPLE,490.47
2024-02-23,SPY_SAMPLE,486.21
2024-02-26,SPY_SAMPLE,489.88
2024-02-27,SPY_SAMPLE,494.07
2024-02-28,SPY_SAMPLE,497.2
2024-02-29,SPY_SAMPLE,493.75
2024-03-01,SPY_SAMPLE,495.19
2024-03-04,SPY_SAMPLE,496.0
2024-03-05,SPY_SAMPLE,497.37
2024-03-06,SPY_SAMPLE,502.33
2024-03-07,SPY_SAMPLE,503.74
2024-03-08,SPY_SAMPLE,507.7
2024-03-11,SPY_SAMPLE,508.25
2024-03-12,SPY_SAMPLE,510.05
2024-03-13,SPY_SAMPLE,513.79
2024-03-14,SPY_SAMPLE,505.79
2024-03-15,SPY_SAMPLE,504.19
2024-03-18,SPY_SAMPLE,501.77
2024-03-19,SPY_SAMPLE,498.43
2024-03-20,SPY_SAMPLE,497.1
2024-03-21,SPY_SAMPLE,505.51
2024-03-22,SPY_SAMPLE,500.9
2024-03-25,SPY_SAMPLE,506.44
