contractSymbol,price_source,implied_volatility,greek_status,failure_reason,delta,gamma,vega,theta,rho
SPY20260621P00540000,bid,0.8067842018664033,success,,-0.16210771516007993,0.0035777361869915487,20.863094053746234,-415.03702392851176,-2.0771145314660893
SPY20260621P00540000,mid,0.8262380643829054,success,,-0.16718606788737267,0.0035640261865743277,21.284286785709007,-433.67278656375765,-2.1465228253874935
SPY20260621P00540000,ask,0.8453235982080384,success,,-0.17201736203953089,0.0035478094649503827,21.67685626123238,-451.92092907368834,-2.212954915968872
SPY20260621C00560000,bid,0.5716085629444664,success,,0.8165346048223951,0.005464368406122134,22.576245266641095,-339.1502316119265,8.92287597714734
SPY20260621C00560000,mid,0.6641217331615779,success,,0.7848709221790466,0.005176816946296242,24.849835486385672,-427.91837580741355,8.49726805812147
SPY20260621C00560000,ask,0.7499114821662588,success,,0.7611410427369276,0.004863360699348846,26.36085553439069,-508.57042926351875,8.167234893713259
SPY20260621P00560000,bid,0.668121483422829,success,,-0.2163460828415219,0.005162680399874308,24.9312293556182,-409.3326737659904,-2.7537883027871337
SPY20260621P00560000,mid,0.6820824809986278,success,,-0.2205040862845209,0.0051127613821436305,25.206087298441233,-422.5556898842114,-2.8109049306884564
SPY20260621P00560000,ask,0.6958965904073364,success,,-0.22448450707580725,0.005062656569695749,25.464560974536308,-435.59693866551873,-2.8658823045958908
SPY20260621C00580000,bid,0.46833914068243854,success,,0.7109441185689145,0.008583809401616491,29.057184929309106,-354.84695054989214,8.003639994240606
SPY20260621C00580000,mid,0.49803768916915914,success,,0.7009254560922135,0.008200089531755666,29.518468437395256,-381.7835211163101,7.865482476024483
SPY20260621C00580000,ask,0.5273144417461959,success,,0.6921080099364899,0.007845994614409896,29.90409668482596,-408.12283454590863,7.74179543297204
SPY20260621C00600000,bid,0.2804400990884509,success,,0.5159848977685582,0.016719167067993694,33.88970326734867,-248.67680160148453,6.0200686691451715
SPY20260621C00600000,mid,0.2848662273655366,success,,0.5159847223867366,0.016459392168964786,33.88970386494064,-252.4063232154083,6.0170549216735045
SPY20260621C00600000,ask,0.28929235564262235,success,,0.5159883773366899,0.016207560059050694,33.8896914097923,-256.1358428532281,6.014087316918555
SPY20260621P00600000,bid,0.2946529169248361,success,,-0.4840023148142234,0.01591268427776142,33.8896596781217,-236.67198726902203,-6.026301747212973
SPY20260621P00600000,mid,0.29907904520192186,success,,-0.4839907906266889,0.015677171218469264,33.889620365063436,-240.40148783224691,-6.029174549876168
SPY20260621P00600000,ask,0.30350517347900763,success,,-0.483975956741873,0.015448522141611467,33.88956971976818,-244.1309735168109,-6.032007478189519
SPY20260621C00620000,bid,0.4785128691998889,success,,0.3307445359299681,0.008910016476636359,30.81663015509992,-374.8263568949109,3.8128599441867803
SPY20260621C00620000,mid,0.4869337372237761,success,,0.3339240774679014,0.00878922281968072,30.933805971008635,-382.77569238072454,3.8459422052865637
SPY20260621C00620000,ask,0.49532357358568335,success,,0.3370030612872887,0.008671415434868077,31.04502454209779,-390.6742798086161,3.877813101374668
SPY20260621P00620000,bid,0.4751914196605216,success,,-0.6705350175239848,0.00895837086781697,30.76880609152018,-346.904687754414,-8.638582972087976
SPY20260621P00620000,mid,0.502968929456791,success,,-0.6602651916681563,0.008566240527418187,31.141852190048162,-373.0739119800019,-8.532133944900503
SPY20260621P00620000,ask,0.530441673314696,success,,-0.6509901990972058,0.008204960965088796,31.457714925264092,-398.7408021168559,-8.437669206669145
SPY20260621C00640000,bid,0.6169897608873156,success,,0.2465705357646225,0.006013662103504799,26.81822288964191,-417.68991827535956,2.822547283855221
SPY20260621C00640000,mid,0.6296005924570505,success,,0.25148449266377354,0.005955411548342278,27.101287513601577,-430.65483595096634,2.874917022831498
SPY20260621C00640000,ask,0.6420842240149846,success,,0.2562174867798835,0.0058970590822473535,27.367838302415045,-443.44240122456426,2.925106789195294
SPY20260621P00640000,bid,0.5694865635090564,success,,-0.7732216473596694,0.006222114439181841,25.611469239906427,-342.84512799175724,-10.230169335765343
SPY20260621P00640000,mid,0.6484188181302788,success,,-0.7414293653956741,0.005867254816919086,27.498156369830685,-424.3342003803929,-9.889345672844842
SPY20260621P00640000,ask,0.7229198222012799,success,,-0.7159970131994793,0.005514635810321849,28.815090412837783,-499.58780616105184,-9.625137053488205
SPY20260621P00660000,bid,0.5833051898313483,success,,-0.8647939084169458,0.00438277073480966,18.4781126481821,-245.15415156088002,-11.67742586938102
SPY20260621P00660000,mid,0.762028452099899,success,,-0.7942548163787453,0.0043950984769699965,24.207660179641223,-437.6659495161262,-10.90517427857909
SPY20260621P00660000,ask,0.9117267913652233,success,,-0.747600171673352,0.004120452412997753,27.153301165521793,-595.7587301614639,-10.420647269937879
SPY20260719C00540000,bid,0.35721485226481964,success,,0.8505258959504787,0.0034894448355561403,43.409280653749676,-97.85932975327198,42.83583992399014
SPY20260719C00540000,mid,0.45070170141250454,success,,0.802143388972604,0.003307052922501532,51.90713836648292,-137.2897447737459,39.59325147474715
SPY20260719C00540000,ask,0.5332457173879911,success,,0.7708109791147636,0.003045337306797569,56.55350464407642,-171.30990834414425,37.34029189351606
SPY20260719P00540000,bid,0.4760205573564228,success,,-0.20845483127346354,0.0032302324704357836,53.54960002355691,-126.29923087223708,-13.187517691368676
SPY20260719P00540000,mid,0.4899195381743814,success,,-0.21388151152727763,0.0031862170707704592,54.36217999424689,-132.04355334138802,-13.575048368097315
SPY20260719P00540000,ask,0.5036208178757411,success,,-0.21897659354422538,0.0031420542160635785,55.10792934716347,-137.68224136543452,-13.94333229600759
SPY20260719C00560000,bid,0.34790231755987744,success,,0.7665296493319413,0.004716161455921196,57.1403282405616,-119.08488795550142,39.50829246287834
SPY20260719C00560000,mid,0.3904206491073836,success,,0.7456124242364353,0.004401752263830146,59.84875492087705,-136.50597554271798,38.05333017297871
SPY20260719C00560000,ask,0.4313276625379082,success,,0.7291356420440213,0.004114344520704275,61.80231047554182,-153.0201641378937,36.85610185131789
SPY20260719P00560000,bid,0.41559032583113564,success,,-0.2648970792947918,0.004222498424672346,61.11272793702183,-124.38029927705048,-16.667678068082672
SPY20260719P00560000,mid,0.42602264532293577,success,,-0.26890134649394626,0.004150438263469282,61.57768921876797,-128.57767023497536,-16.962007365955994
SPY20260719P00560000,ask,0.43637932281035374,success,,-0.27268945337217965,0.004080329510924049,62.009202342353284,-132.7306729058555,-17.24379011879116
SPY20260719C00580000,bid,0.3015987565500532,success,,0.6734850061769753,0.00640687703119528,67.2934322397245,-119.66784370202411,35.713596670650446
SPY20260719C00580000,mid,0.3177308621907998,success,,0.6669918152121038,0.006129828804977244,67.82729404524804,-125.956123424603,35.23127247220207
SPY20260719C00580000,ask,0.3337458261015396,success,,0.6612114642550126,0.005875007874703115,68.28432811717029,-132.17662038602813,34.7903232522288
SPY20260719P00580000,bid,0.34353920255558745,success,,-0.34203273121553246,0.005728342773141118,68.53336323425935,-112.86019528484462,-21.353770527231116
SPY20260719P00580000,mid,0.350534569905417,success,,-0.3442265778049508,0.005627573270405531,68.69873772678307,-115.56589194359987,-21.527540647162876
SPY20260719P00580000,ask,0.35751362048700275,success,,-0.3463190361701033,0.005530203023737808,68.85419606887376,-118.26184935236846,-21.69542590168868
